assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
109452879,109452875,Cryptoblepharus caudatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Cryptoblepharus,caudatus,,,,"(Sternfeld, 1918)",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
110211854,110211850,Lygodactylus insularis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Lygodactylus,insularis,,,,"Boettger, 1913",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
111875852,5529,Cricetus cricetus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Cricetus,cricetus,,,,"(Linnaeus, 1758)",Critically Endangered,A3c,3.1,Decreasing,Global
112362480,168198,Samoana ganymedes,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARTULIDAE,Samoana,ganymedes,,,,"(Pfeiffer, 1846)",Critically Endangered,B1ab(v)+2ab(v),3.1,Decreasing,Global
112362575,168200,Samoana inflata,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARTULIDAE,Samoana,inflata,,,,"(Reeve, 1842)",Critically Endangered,B1ab(v)+2ab(v),3.1,Decreasing,Global
112682183,112682140,Oreophryne matawan,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Oreophryne,matawan,,,,"Kraus, 2016",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
112683372,112683348,Oreophryne penelopeia,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Oreophryne,penelopeia,,,,"Kraus, 2016",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
112686933,112686840,Nototriton nelsoni,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,nelsoni,,,,"Townsend, 2016",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
112686985,112686960,Nototriton oreadorum,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,oreadorum,,,,"Townsend, 2016",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
113148785,161638,Squatina legnota,ANIMALIA,CHORDATA,SQUATINIFORMES,CHONDRICHTHYES,SQUATINIDAE,Squatina,legnota,,,,"Last &amp; White, 2008",Critically Endangered,A2bd,3.1,Decreasing,Global
115560059,4085,Cebus trinitatis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Cebus,trinitatis,,,,"von Pusch, 1942",Critically Endangered,C2a(ii); D,3.1,Decreasing,Global
115561431,8202,Eulemur mongoz,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEMURIDAE,Eulemur,mongoz,,,,"(Linnaeus, 1766)",Critically Endangered,A4cde,3.1,Decreasing,Global
115562060,8205,Eulemur cinereiceps,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEMURIDAE,Eulemur,cinereiceps,,,,"(A. Grandidier &amp; Milne-Edwards, 1890)",Critically Endangered,A4cd,3.1,Decreasing,Global
115563094,8211,Eulemur flavifrons,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEMURIDAE,Eulemur,flavifrons,,,,"(Gray, 1867)",Critically Endangered,A4cd,3.1,Decreasing,Global
115564398,9672,Hapalemur aureus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEMURIDAE,Hapalemur,aureus,,,,"Meier, Albignac, Peyriéras, Rumpler &amp; Wright, 1987",Critically Endangered,C2a(i),3.1,Decreasing,Global
115564770,9674,Prolemur simus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEMURIDAE,Prolemur,simus,,,,"(Gray, 1871)",Critically Endangered,A2cd,3.1,Decreasing,Global
