internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
5146,Colobus vellerosus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Colobus,vellerosus,,,,,"(I. Geoffroy Saint-Hilaire, 1834)",Listed as a separate species from <em>Colobus polykomos</em> following Oates and Trocco (1983) and Groves (2005).
169851969,Sarcohyla toyota,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Sarcohyla,toyota,,,,,"Grünwald, Franz-Chávez, Morales-Flores, Ahumada-Carrillo &amp; Jones, 2019","<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This is a split from the broader concept of Genus_species (Citation).&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12801,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">This is a split from the broader concept of <em>Sarcohyla&#160;thorectes</em>&#160;(Grünwald <em>et al</em>. 2019)."
169518528,Apicencya calva,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Apicencya,calva,,,,,"(Waterhouse, 1882)",
169975882,Cherbezatina kalalaoensis,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Cherbezatina,kalalaoensis,,,,,"Lacroix, 1993",
169976609,Cherbezatina marmorata,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Cherbezatina,marmorata,,,,,"Lacroix, 1993",
169980360,Pseudenaria fairmairei,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Pseudenaria,fairmairei,,,,,"(Dewailly, 1950)",
197102,Macromia zeylanica,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,MACROMIIDAE,Macromia,zeylanica,,,,,"Fraser, 1927",
141760092,Ceylonosticta mirifica,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,PLATYSTICTIDAE,Ceylonosticta,mirifica,,,,,"Bedjanic, 2016",
141760305,Ceylonosticta nancyae,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,PLATYSTICTIDAE,Ceylonosticta,nancyae,,,,,"Priyadarshana &amp; Wijewardhane, 2016",
141760565,Ceylonosticta rupasinghe,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,PLATYSTICTIDAE,Ceylonosticta,rupasinghe,,,,,"Priyadarshana &amp; Wijewardhane, 2016",
197110,Ceylonosticta subtropica,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,PLATYSTICTIDAE,Ceylonosticta,subtropica,,,,,"Fraser, 1933",
141765151,Ceylonosticta venusta,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,PLATYSTICTIDAE,Ceylonosticta,venusta,,,,,"Bedjanic &amp; Conniff, 2016",
22714826,Acrocephalus rimitarae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,rimitarae,,,,,"(Murphy &amp; Mathews, 1929)",<p><em>Acrocephalus rimitarae </em>(del Hoyo and Collar 2016) was previously listed as <em>A. rimatarae</em>.&#160;See <em>A. vaughani</em>. Monotypic.</p>
10355,Bokermannohyla izecksohni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Bokermannohyla,izecksohni,,,,,"(Jim &amp; Caramaschi, 1979)",This species was previously included in the genus <em>Hyla</em> but has been moved to the genus <em>Bokermannohyla</em> (Faivovich <em>et al.</em> 2005).
56012,Sphaenorhynchus bromelicola,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Sphaenorhynchus,bromelicola,,,,,"Bokermann, 1966","This species is similar to <i>Sphaenorhynchus orophilus</i>, according to the original description."
56362,Cycloramphus heyeri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CYCLORAMPHIDAE,Cycloramphus,heyeri,,,,,"Segalla, Berneck, Canedo, Caramaschi, Cruz, Garcia, Grant, Haddad, Lourenço, Mângia, Mott, Nascimento, Toledo, Werneck &amp; Langone, 2021","<p>This concept previously bore the name&#160;<em>Cycloramphus carvalhoi</em> (Heyer 1983). Following the accidental confusion between <em>Zachaenus carvalhoi </em>and <em>Cycloramphus carvalhoi</em>&#160;due to changes made by Dubois <em>et al.</em> (2021), <em>C. carvalhoi </em>has been renamed as&#160;<em>C. heyeri</em>&#160;(Segalla <em>et al. </em>2021).</p>"
57073,Euparkerella robusta,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Euparkerella,robusta,,,,,"Izecksohn, 1988",
135887,Ololygon peixotoi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Ololygon,peixotoi,,,,,"(Brasileiro, Haddad, Sawaya &amp; Martins, 2007)","In the <em>Scinax perpusillus</em> group. <em>Scinax peixotoi</em> is diagnosed by a combination of morphological characters and distinct advertisement call (Brasileiro <span style=""font-style: italic;"">et al. </span>2007)."
172272064,Plecturocebus grovesi,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,PITHECIIDAE,Plecturocebus,grovesi,,,,,"Boubli, Byrne, da Silva, Silva-Júnior, Costa Araújo, Bertuol, Gonçalves, de Melo, Rylands, Mittermeier, Silva, Nash, Canale, Alencar, Rossi, Carneiro, Sampaio, Farias, Schneider, &amp; Hrbek, 2019",
164451067,Siamophryne troglodytes,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Siamophryne,troglodytes,,,,,"Suwannapoom, Sumontha, Tunprasert, Ruangsuwan, Pawangkhanant, Korost &amp; Poyarkov, 2018",
56634,Eleutherodactylus gryllus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,gryllus,,,,,"Schmidt, 1920",
57023,Eleutherodactylus unicolor,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,unicolor,,,,,"Stejneger, 1904",
135828,Eleutherodactylus juanariveroi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,juanariveroi,,,,,"Rios-López &amp; Thomas, 2007","This species can be distinguished from similar species by a combination of morphometrics, body colouration, advertisement call features and habitat association (Rios-López and Thomas 2007)."
172817035,Peltophryne armata,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Peltophryne,armata,,,,,"Landestoy T., Turner, Marion &amp;  Hedges, 2018",
22685553,Ara ambiguus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Ara,ambiguus,,,,,"(Bechstein, 1811)",
173699164,Amphicnemis rigiketit,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Amphicnemis,rigiketit,,,,,"Dow, 2019",
173699728,Paracercion ambiguum,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Paracercion,ambiguum,,,,,"Kompier &amp; Yu in Ning, Kompier, Yu &amp; Bu, 2016",
173714498,Ophiogomphus longihamulus,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,Ophiogomphus,longihamulus,,,,,"Karube, 2014",
173715656,Trigomphus kompieri,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,Trigomphus,kompieri,,,,,"Karube, 2015",
173721301,Protosticta spinosa,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,PLATYSTICTIDAE,Protosticta,spinosa,,,,,"Phan &amp; Kompier, 2016",
