internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
59061,Ambystoma leorae,"Rhyacosiredon leorae Taylor, 1943",Rhyacosiredon,leorae,"Taylor, 1943",,
59222,Chiropterotriton chiropterus,"Spelerpes chiropterus Cope, 1863",Spelerpes,chiropterus,"Cope, 1863",,
59222,Chiropterotriton chiropterus,"Spelerpes laticeps Brocchi, 1883",Spelerpes,laticeps,"Brocchi, 1883",,
59222,Chiropterotriton chiropterus,"Oedipus chiropterus (Cope, 1863)",Oedipus,chiropterus,"(Cope, 1863)",,
59222,Chiropterotriton chiropterus,"Bolitoglossa chiroptera (Cope, 1863)",Bolitoglossa,chiroptera,"(Cope, 1863)",,
59222,Chiropterotriton chiropterus,"Chiropterotriton chiroptera (Cope, 1863) [orth. error]",Chiropterotriton,chiroptera,"(Cope, 1863) [orth. error]",,
59381,Pseudoeurycea goebeli,"Oedipus  goebeli  Schmidt, 1936",Oedipus ,goebeli ,"Schmidt, 1936",,
59397,Pseudoeurycea smithi,"Oedipu  smithi Taylor, 1939",Oedipu, smithi,"Taylor, 1939",,
59401,Pseudoeurycea unguidentis,"Bolitoglossa unguidentis Taylor, 1941",Bolitoglossa,unguidentis,"Taylor, 1941",,
54635,Incilius fastidiosus,"Cranopsis fastidiosa (Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green, and Wheeler, 2006)",Cranopsis,fastidiosa,"(Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green, and Wheeler, 2006)",,
54635,Incilius fastidiosus,"Ollotis fastidiosa (Frost, Grant, and Mendelson, 2006)",Ollotis,fastidiosa,"(Frost, Grant, and Mendelson, 2006)",,
54635,Incilius fastidiosus,"Ollotis coerulescens Cope, 1875",Ollotis,coerulescens,"Cope, 1875",,
54635,Incilius fastidiosus,"Bufo caerulescens (Brocchi, 1882)",Bufo,caerulescens,"(Brocchi, 1882)",,
54635,Incilius fastidiosus,"Bufo fastidiosus (Boulenger, 1882)",Bufo,fastidiosus,"(Boulenger, 1882)",,
54635,Incilius fastidiosus,"Cranophryne fastidiosa (Cope, 1889)",Cranophryne,fastidiosa,"(Cope, 1889)",,
54635,Incilius fastidiosus,"Nannophryne coerulescens (Cope, 1890)",Nannophryne,coerulescens,"(Cope, 1890)",,
54635,Incilius fastidiosus,"Nannophryne fastidiosa (Günther, 1901)",Nannophryne,fastidiosa,"(Günther, 1901)",,
54635,Incilius fastidiosus,"Bufo coerulescens (Nieden, 1923)",Bufo,coerulescens,"(Nieden, 1923)",,
54635,Incilius fastidiosus,"Cranopsis fastidiosus Cope, 1875",Cranopsis,fastidiosus,"Cope, 1875",,
55102,Colostethus latinasus,"Phyllobates latinasus Cope, 1863",Phyllobates,latinasus,"Cope, 1863",,
55173,Oophaga arborea,"Dendrobates arboreus Myers, Daly & Martínez, 1984",Dendrobates,arboreus,"Myers, Daly & Martínez, 1984",,
55173,Oophaga arborea,"Oophaga arboreus (Myers, Daly & Martínez, 1984) [orth. error]",Oophaga,arboreus,"(Myers, Daly & Martínez, 1984) [orth. error]",,
55329,Gastrotheca cornuta,"Hyla ceratophrys Stejneger, 1911",Hyla,ceratophrys,"Stejneger, 1911",,
55329,Gastrotheca cornuta,"Nototrema cornutum Boulenger, 1898",Nototrema,cornutum,"Boulenger, 1898",,
55390,Isthmohyla angustilineata,"Hyla  angustilineata  Taylor, 1952",Hyla ,angustilineata ,"Taylor, 1952",,
55462,Isthmohyla debilis,"Hyla  debilis  Taylor, 1952",Hyla ,debilis ,"Taylor, 1952",,
55675,Isthmohyla tica,"Hyla tica Starrett, 1966",Hyla,tica,"Starrett, 1966",,
56498,Craugastor catalinae,"Eleutherodactylus  catalinae Campbell & Savage, 2000",Eleutherodactylus ,catalinae,"Campbell & Savage, 2000",,
56577,Craugastor emcelae,"Eleutherodactylus emcelae Lynch, 1985",Eleutherodactylus,emcelae,"Lynch, 1985",,
56901,Craugastor ranoides,"Liohyla ranoides (Cope, 1886)",Liohyla,ranoides,"(Cope, 1886)",,
56901,Craugastor ranoides,"Liohyla pittieri Günther, 1900",Liohyla,pittieri,"Günther, 1900",,
56901,Craugastor ranoides,"Eleutherodactylus ranoides (Cope, 1886)",Eleutherodactylus,ranoides,"(Cope, 1886)",,
56901,Craugastor ranoides,"Eleutherodactylus pittieri (Günther, 1900)",Eleutherodactylus,pittieri,"(Günther, 1900)",,
56901,Craugastor ranoides,"Hylodes ranoides (Cope, 1886)",Hylodes,ranoides,"(Cope, 1886)",,
56901,Craugastor ranoides,"Hylodes pittieri (Günther, 1900)",Hylodes,pittieri,"(Günther, 1900)",,
56901,Craugastor ranoides,"Lithodytes  ranoides Cope, 1886",Lithodytes ,ranoides,"Cope, 1886",,
56913,Craugastor rhyacobatrachus,"Eleutherodactylus rhyacobatrachus Campbell & Savage, 2000",Eleutherodactylus,rhyacobatrachus,"Campbell & Savage, 2000",,
61804,Craugastor tabasarae,"Eleutherodacylus  tabasarae Savage, Hollingsworth, Lips & Jaslow, 2004",Eleutherodacylus ,tabasarae,"Savage, Hollingsworth, Lips & Jaslow, 2004",,
54360,Cryptotriton monzoni,"Nototriton  monzoni  Campbell & Smith, 1998",Nototriton ,monzoni ,"Campbell & Smith, 1998",,
54486,Rhinella chrysophora,"Atelophryniscus chrysophorus McCranie, Wilson & Williams, 1989",Atelophryniscus,chrysophorus,"McCranie, Wilson & Williams, 1989",,
55416,Dryophytes bocourti,"Hyla bocourti Mocquard, 1899",Hyla,bocourti,"Mocquard, 1899",,
55465,Ptychohyla dendrophasma,"Hyla dendrophasma Campbell, Smith & Acevedo, 2000",Hyla,dendrophasma,"Campbell, Smith & Acevedo, 2000",,
55603,Isthmohyla pictipes,"Hyla  punctariola  ssp. moesta  Cope, 1875",Hyla ,punctariola ,,subspecies,"Cope, 1875"
55603,Isthmohyla pictipes,"Hyla  punctariola  ssp. monticola  Cope, 1875",Hyla ,punctariola ,,subspecies,"Cope, 1875"
55603,Isthmohyla pictipes,"Hyla  moesta (Cope, 1875)",Hyla ,moesta,"(Cope, 1875)",,
55603,Isthmohyla pictipes,"Hyla  monticola (Cope, 1875)",Hyla ,monticola,"(Cope, 1875)",,
55603,Isthmohyla pictipes,"Hyla  pictipes (Cope, 1875)",Hyla ,pictipes,"(Cope, 1875)",,
55603,Isthmohyla pictipes,"Hyla  punctariola  ssp. pictipes  Cope, 1875",Hyla ,punctariola ,,subspecies,"Cope, 1875"
55875,Plectrohyla glandulosa,"Hyla  glandulosa Boulenger, 1883",Hyla ,glandulosa,"Boulenger, 1883",,
55875,Plectrohyla glandulosa,"Plectrohyla  cotzicensis Stuart, 1948",Plectrohyla ,cotzicensis,"Stuart, 1948",,
55887,Plectrohyla teuchestes,"Plectrohyla guatemala Duellman, 1970",Plectrohyla,guatemala,"Duellman, 1970",,
55915,Atlantihyla panchoi,"Ptychohyla panchoi Duellman & Campbell, 1982",Ptychohyla,panchoi,"Duellman & Campbell, 1982",,
56414,Craugastor andi,"Eleutherodactylus andi Savage, 1974",Eleutherodactylus,andi,"Savage, 1974",,
56418,Craugastor angelicus,"Eleutherodactylus angelicus Savage, 1975",Eleutherodactylus,angelicus,"Savage, 1975",,
56588,Craugastor escoces,"Eleutherodactylus escoces Savage, 1975",Eleutherodactylus,escoces,"Savage, 1975",,
56603,Craugastor fleischmanni,"Lithodytes euryglossus Cope, 1894",Lithodytes,euryglossus,"Cope, 1894",,
56603,Craugastor fleischmanni,"Liohyla fleischmanni (Boettger, 1892)",Liohyla,fleischmanni,"(Boettger, 1892)",,
56603,Craugastor fleischmanni,"Liohyla engytympanum Günther, 1900",Liohyla,engytympanum,"Günther, 1900",,
56603,Craugastor fleischmanni,"Hylodes euryglossus (Cope, 1894)",Hylodes,euryglossus,"(Cope, 1894)",,
56603,Craugastor fleischmanni,"Eleutherodactylus fleischmanni (Boettger, 1892)",Eleutherodactylus,fleischmanni,"(Boettger, 1892)",,
56603,Craugastor fleischmanni,"Eleutherodactylus engytympanum (Günther, 1900)",Eleutherodactylus,engytympanum,"(Günther, 1900)",,
56603,Craugastor fleischmanni,"Eleutherodactylus euryglossus (Cope, 1984)",Eleutherodactylus,euryglossus,"(Cope, 1984)",,
56603,Craugastor fleischmanni,"Hylodes fleischmanni Boettger, 1892",Hylodes,fleischmanni,"Boettger, 1892",,
56665,Craugastor inachus,"Eleutherodactylus  inachus Campbell & Savage, 2000",Eleutherodactylus ,inachus,"Campbell & Savage, 2000",,
57013,Craugastor trachydermus,"Eleutherodactylus trachydermus Campbell, 1994",Eleutherodactylus,trachydermus,"Campbell, 1994",,
89183465,Cryptotriton veraepacis,"Chiropterotriton veraepacis Lynch & Wake, 1978",Chiropterotriton,veraepacis,"Lynch & Wake, 1978",,
59237,Dendrotriton bromeliacius,"Chiropterotriton  bromeliacia (Schmidt, 1936)",Chiropterotriton ,bromeliacia,"(Schmidt, 1936)",,
59237,Dendrotriton bromeliacius,"Oedipus  bromeliacia  Schmidt, 1936",Oedipus ,bromeliacia ,"Schmidt, 1936",,
59238,Dendrotriton cuchumatanus,"Chiropterotriton  cuchumatanus  Lynch & Wake, 1975",Chiropterotriton ,cuchumatanus ,"Lynch & Wake, 1975",,
59240,Dendrotriton rabbi,"Chiropterotriton  rabbi  Lynch & Wake, 1975",Chiropterotriton ,rabbi ,"Lynch & Wake, 1975",,
61802,Craugastor campbelli,"Eleutherodactylus campbelli  Smith, 2005",Eleutherodactylus,campbelli ,"Smith, 2005",,
61803,Craugastor nefrens,"Eleutherodactylus nefrens Smith, 2005",Eleutherodactylus,nefrens,"Smith, 2005",,
39389,Anoxypristis cuspidata,"Pristis cuspidatus Latham, 1794",Pristis,cuspidatus,"Latham, 1794",,
60841,Haplochromis desfontainii,"Sparus desfontainii Lacepède, 1802",Sparus,desfontainii,"Lacepède, 1802",,
60841,Haplochromis desfontainii,"Astatotilapia desfontainii (Lacepède, 1802)",Astatotilapia,desfontainii,"(Lacepède, 1802)",,
